día,precio de cierre ajustado,cambio de precio,dia,precio final,cambio,mes,dia,precio final,cambio,,,,día,precio de cierre,cambio de precio
322,1404.3,-5.8,,,,,,,,,,,,,
323,1409.9,5.6,,,,,,,,,,,,,
324,1411.4,1.5,,,,,,,,,,,,,
325,1409.2,-2.2,,,,,,,,,,,,,
326,1421.3,12.1,,,,,,,,,,,,,
327,1426.1,4.8,,,,,,,,,,,,,
328,1425.1,-1,,,,,,,,,,,,,
329,1425.3,0.2,,,,,,,,,,,,,
330,1420.1,-5.2,,,,,,,,,,,,,
331,1422.8,2.7,,,,,,,,,,,,,
332,1413.9,-8.9,,,,,,,,,,,,,
333,1418.5,4.6,,,,,,,,,,,,,
334,1419.6,1.1,,,,,,,,,,,,,
335,1429.7,10.1,,,,,,,,,,,,,
336,1426.1,-3.6,,,,,,,,,,,,,
337,1420.9,-5.2,,,,,,,,,,,,,
338,1445.6,24.7,,,,,,,,,,,,,
339,1464.6,19,,,,,,,,,,,,,
340,1472.4,7.8,,,,,,,,,,,,,
341,1507.3,34.9,,,,,,,,,,,,,
342,1497.7,-9.6,,,,,,,,,,,,,
343,1496.6,-1.1,,,,,,,,,,,,,
344,1505.3,8.7,,,,,,,,,,,,,
345,1502.2,-3.1,,,,,,,,,,,,,
346,1515.9,13.7,,,,,,,,,,,,,
347,1519.6,3.7,,,,,,,,,,,,,
348,1512.5,-7.1,,,,,,,,,,,,,
349,1500.4,-12.1,,,,,,,,,,,,,
350,1504.6,4.2,,,,,,,,,,,,,
351,1504.6,0,,,,,,,,,,,,,
352,1497.3,-7.3,,,,,,,,,,,,,
353,1526.6,29.3,,,,,,,,,,,,,
354,1526.3,-0.3,,,,,,,,,,,,,
355,1541,14.7,,,,,,,,,,,,,
356,1537.8,-3.2,,,,,,,,,,,,,
357,1526.5,-11.3,,,,,,,,,,,,,
358,1519.1,-7.4,,,,,,,,,,,,,
359,1545.9,26.8,,,,,,,,,,,,,
360,1550.3,4.4,,,,,,,,,,,,,
361,1515.4,-34.9,,,,,,,,,,,,,
362,1506.2,-9.2,,,,,,,,,,,,,
363,1502.2,-4,,,,,,,,,,,,,
364,1490.3,-11.9,,,,,,,,,,,,,
365,1494.4,4.1,,,,,,,,,,,,,
366,1498.7,4.3,,,,,,,,,,,,,
367,1490.9,-7.8,,,,,,,,,,,,,
368,1503.1,12.2,,,,,,,,,,,,,
369,1505.1,2,,,,,,,,,,,,,
370,1507.5,2.4,,,,,,,,,,,,,
371,1498.4,-9.1,,,,,,,,,,,,,
372,1507.3,8.9,,,,,,,,,,,,,
373,1523.7,16.4,,,,,,,,,,,,,
374,1532.1,8.4,,,,,,,,,,,,,
375,1504.6,-27.5,,,,,,,,,,,,,
376,1507.5,2.9,,,,,,,,,,,,,
377,1499.1,-8.4,,,,,,,,,,,,,
378,1465.7,-33.4,,,,,,,,,,,,,
379,1482,16.3,,,,,,,,,,,,,
380,1501,19,,,,,,,,,,,,,
381,1507.1,6.1,,,,,,,,,,,,,
382,1506.2,-0.9,,,,,,,,,,,,,
383,1497.7,-8.5,,,,,,,,,,,,,
384,1497.2,-0.5,,,,,,,,,,,,,
385,1506.1,8.9,,,,,,,,,,,,,
386,1494.8,-11.3,,,,,,,,,,,,,
387,1482.7,-12.1,,,,,,,,,,,,,
388,1491.7,9,,,,,,,,,,,,,
389,1477.6,-14.1,,,,,,,,,,,,,
390,1488,10.4,,,,,,,,,,,,,
391,1492.3,4.3,,,,,,,,,,,,,
392,1488.2,-4.1,,,,,,,,,,,,,
393,1482.4,-5.8,,,,,,,,,,,,,
394,1481.7,-0.7,,,,,,,,,,,,,
395,1489.9,8.2,,,,,,,,,,,,,
396,1498.9,9,,,,,,,,,,,,,
397,1499.5,0.6,,,,,,,,,,,,,
398,1490,-9.5,,,,,,,,,,,,,
399,1487,-3,,,,,,,,,,,,,
400,1493.2,6.2,,,,,,,,,,,,,
401,1511.4,18.2,,,,,,,,,,,,,
402,1508,-3.4,,,,,,,,,,,,,
403,1508,0,,,,,,,,,,,,,
404,1480.8,-27.2,,,,,,,,,,,,,
405,1490.2,9.4,,,,,,,,,,,,,
406,1464.2,-26,,,,,,,,,,,,,
